item,prices,description
ASUS VZ24EHE 23.8 inch Full HD IPS 75Hz Eye Care Monitor,"21,300৳","ASUS VZ24EHE has an ultra-slim profile that measures a mere 6.5mm at its thinnest point. Its frameless design makes ASUS VZ24EHE Monitor perfect for almost seamless multi-display setups that give you an even greater degree of immersion. An advanced high-performance IPS panel gives you a wide 178° viewing angle. In addition, ASUS Eye Care technology ensures a comfortable viewing experience."
PHILIPS 222V8LA/94 21.5 INCH FULL HD VA LED MONITOR ,"14,500৳","Philips VA LED display uses an advanced multi-domain vertical alignment technology which gives you super-high static contrast ratios for extra vivid and bright images. While standard office applications are handled with ease, it is especially suitable for photos, web-browsing, movies, gaming, and demanding graphical applications. It's optimized pixel management technology gives you 178/178 degree extra wide viewing angle, resulting in crisp images."
XIAOMI REDMI G24 165HZ 23.8 INCH GAMING MONITOR ,"14,499৳","It features a 23.8-inch VA panel, supports refresh rates up to 165Hz, has a screen resolution of 1920*1080, and has a response time of 1ms. At the same time, the display supports G-Sync and Free-Sync functions, which keep the graphics card's frame rate and screen transmission in sync, preventing flickering of fast-moving images."
VIEWSONIC VA2932-MHD 29 inch Wide Full High Definition IPS Monitor,"28,700৳","The ViewSonic VA2932-MHD is a 29"" monitor with WFHD2560 x 1080 resolution, 21:9 aspect ratio, and SuperClear® IPS panel. And with SuperClear IPS technology, this monitor delivers the same image quality whether you are looking at the screen from above, below, the front, or the side. A 21:9 aspect ratio and 3-side borderless bezels provide extra screen real estate so users can display more content, switch between applications more quickly, view documents side by side, and view multiple windows at once. What's more, this monitor is designed with a height-adjustable and swivel stand."
LG 32GP850-B 32 INCH ULTRAGEAR QHD 165HZ G-SYNC IPS GAMING MONITOR,"66,000৳",
Walton WD238V03 23.8 inch Full HD LED Backlight Monitor with Built-in Speaker,"14,200৳",
LG 32UL950-W 32 inch 4K UHD HDR FreeSync IPS Gaming Monitor with Thunderbolt 3,"165,000৳","The 32UL950-W 32"" 16:9 4K UHD HDR FreeSync IPS Monitor from LG features an expansive 32"" screen size for an immersive viewing experience. Built with an In-Plane Switching (IPS) panel, LG 32UL950-W Gaming Monitor offers vivid colours and wide 178° viewing angles. Specs-wise, it's a 3840 x 2160 4K UHD resolution, a 1300:1 static contrast ratio, a 450 cd/m² brightness rating, and support for 1.07 billion colours. With these combined, this monitor provides you with crisp, clear details and accurate colours. Moreover, LG 32UL950-W Gaming Monitor supports AMD FreeSync technology, a helpful addition for gamers. Connect this display to your system via HDMI, DisplayPort, or maybe Thunderbolt 3 and tilt it to your viewing preference. If needed, you'll also install an optional VESA stand, mount, or arm. For your convenience, LG 32UL950-W Gaming Monitor also features a built-in USB hub that you simply can use to quickly connect peripherals."
LG 32UN650-W 31.5-inch FreeSync 4K IPS Monitor,"63,999৳","Whether you're being entertained or creating professional content, the LG 32UN650-W Monitor from LG is ready for practically any task. This 31.5"" monitor supports a 3840 x 2160 4K UHD resolution at 60 Hz and features an In-Plane Switching (IPS) HDR10 panel that shows 1.07 billion colors covering 95% of the DCI-P3 spectrum and is calibrated for vivid and realistic colors. It also has AMD FreeSync technology built-in, which helps to reduce stuttering, screen tearing, and motion blur during fast action games when connected to a compatible graphics card. Other features include a 350 cd/m² max brightness, a 1000:1 contrast ratio, wide 178° horizontal and vertical viewing angles, and a 60 Hz refresh with a 5 ms gray-to-gray response time, which deliver deep blacks, bright whites, and smooth playing videos. Devices can be connected to the monitor through its DisplayPort 1.4 and two HDMI inputs, and two MAXXAUDIO-enhanced 5W speakers are built into the monitor for immersive videos and music. Alternatively, you can to connect speakers or headphones to the integrated 3.5mm audio jack. Adjust the screen's tilt and height to optimize comfort or install the monitor onto a wall, a monitor arm, or multi-monitor stand using the 100 x 100mm VESA mounting holes."
LG UltraGear 24GN600-B 23.8 inch Full HD IPS 144Hz Gaming Monitor,"24,600৳",
PHILIPS 226E9QHAB/94 22 INCH LCD MONITOR,"15,500৳","IPS displays use an advanced technology which gives you extra wide viewing angles of 178/178 degree, making it possible to view the display from almost any angle. Unlike standard TN panels, IPS displays gives you remarkably crisp images with vivid colors, making it ideal not only for Photos, movies and web browsing, but also for professional applications which demand color accuracy and consistent brightness at all times."
LG 24MP400-B 23.8 inch FreeSync Full HD IPS Gaming Monitor,"19,600৳","Enhance your productivity and entertainment experiences with the LG 24MP400-B 23.8"" 16:9 FreeSync Full HD IPS Monitor. Featuring a slim bezel design that's ideal for multi-monitor configurations and a 1920 x 1080 Full HD resolution, LG 24MP400-B 23.8"" Full HD monitor is meant to deliver vivid, high-detailed images when you're viewing photos, watching videos, or playing games. With AMD FreeSync technology support, the monitor helps to scale back stuttering, screen tearing, and motion blur during fast action games when connected to a compatible graphics card. Blue diffusing screen and flicker-safe technologies help to scale back eye strain and fatigue when viewing the display for prolonged periods of your time ."
LG 27QN880 27-inch QHD USB-C HDR MONITOR WITH ERGO STAND,"55,999৳",
LG ULTRAFINE 27EP950-B 26.9 INCH 4K HDR OLED MONITOR,"301,000৳","Enjoy exceptional color accuracy while creating professional grade content with the LG UltraFine 27EP950-B 26.9"" 16:9 4K HDR OLED Monitor. Featuring a thin-bezel 3840 x 2160 resolution OLED screen, this monitor is factory calibrated to support 99% of the DCI-P3 and Adobe RGB color spectrums with high-dynamic range, delivering lifelike photos and videos with bright highlights and deep shadows. The 1,000,000:1 contrast ratio is enhanced by LG's Pixel Dimming technology, which adjusts the screen's individual pixels to produce exceptional contrast and color. Connect your device to the monitor through the DisplayPort and HDMI ports, or use the USB Type-C port to transfer video, data, and up to 90W of power with compatible laptops using a single cable. The integrated 3-port USB hub allows you to quickly connect peripherals such keyboards, mice, and flash drives to your computer through the monitor."
LG 24GN650-B UltraGear 24 Inch 144Hz FreeSync Full HD IPS Gaming Monitor,"26,700৳",
LG 27UP850-W 27 Inch 4K FreeSync UHD HDR IPS Monitor,"59,499৳",
LG 27UN880 27-inch UltraFine UHD 4K IPS USB-C HDR Monitor with Ergo Stand,"68,999৳","Whether you're being productive or entertained, the LG 27UN880 UltraFine 27"" 16:9 FreeSync 4K IPS Monitor with Ergo Stand is designed to deliver exceptional enhanced comfort and exceptional picture quality for your everyday needs. Built with a thin-bezel design, this 27"" monitor features an In-Plane Switching (IPS) panel with HDR10, supporting 1.07 billion colors across 99% of the sRGB color gamut, bringing vivid colors to compatible videos. The monitor has a 3840 x 2160 UHD native resolution at 60 Hz with a 350 cd/m² brightness rating, a 1000:1 static contrast ratio, and a 5 ms gray-to-gray response time to produce an optimal viewing experience. Additionally, the 27UN880 uses AMD FreeSync technology to reduce screen tearing, stuttering, and artifacts when playing fast action games."
ASUS TUF GAMING VG28UQL1A 28 INCH 4K 144HZ IPS GAMING MONITOR,"115,000৳","The ASUS TUF Gaming VG28UQL1A 28"" 16:9 144 Hz IPS Gaming Monitor utilizes an IPS panel and NVIDIA G-Sync compatibility for blistering-fast 144 Hz gaming. Its clever combination of Display Stream Compression (DSC), ASUS Extreme Low Motion Blur Sync (ELMB Sync) and AMD FreeSync Premium technologies enables smooth gaming on PCs. In addition, it meets DisplayHDR 400 compliance standards for exceptional colors and contrast."
BenQ EW3270U 31.5 inch Video Enjoyment 4K/HDR LCD Monitor,"56,500৳",
BenQ GW2780 27 inch Eye Care IPS Monitor,"27,500৳","With reduced size bezels, the GW2780 27"" 16:9 IPS Monitor from BenQ GW2780 Monitor offers a virtually frameless viewing experience. additionally to the frameless design, the IPS (In-Plane Switching) panel offers enhanced 178° horizontal and vertical viewing angles so everyone can see the BenQ GW2780 Monitor . If that's not enough, this BenQ monitor comes with BenQ Exclusive Eye-Care Technology, which features Brightness Intelligence Technology (B.I.Tech.), a coffee Blue diffusing screen , and Flicker-Free technology to make a easier viewing experience.Setup and configuration is straightforward because the GW2780 monitor comes equipped with HDMI, DisplayPort, and VGA inputs also as a fanatical headphone jack. Once configured, display features a Full HD 1920 x 1080 resolution along side a 1000:1 contrast ratio, a 250 cd/m² brightness ratings, and a 5 ms reaction time for a transparent picture with reduced ghosting and blur. Additionally, this BenQ GW2780 Monitor comes equipped with dual 2W speakers for an entire multimedia viewing experience."
HP M22f 21.5 Inch FHD IPS Monitor,"16,500৳", is the best shop for hp monitors in Bangladesh. This 
ASUS TUF Gaming VG27AQL1A 27 inch WQHD Gaming Monitor,"60,000৳",
Gigabyte G24F 23.8 inch Full HD 165Hz Gaming Monitor,"24,000৳","Level up your gaming experience with the Gigabyte G24F Gaming Monitor from Gigabyte. Designed to deliver immersive experiences, this 23.8"" monitor features an Edge type SS IPS panel with 178° horizontal and vertical viewing angles to fill your field of view. With its 1920 x 1080 FHD resolution at 165Hz and 1 ms Moving Picture Response Time (MPRT), the display is designed to deliver sharp, smooth graphics for videos and games. The G24F supports 8 bits colors with lifelike images that cover 90% DCI-P3/120% sRGBt, reach up to 300 cd/m² brightness, and have a 1000:1 contrast ratio. Gigabyte G24F Gaming Monitor also supports Aim Stabilizer, Devices connect to the monitor through its two DisplayPort 1.4 and dual HDMI 2.0 inputs.  Adjust the screen's tilt and height to optimize comfort or install the monitor onto a wall or compatible arm using the 100 x 100mm VESA mounting holes. As AN unseen player, the monitor is commonly being underestimated. the reality is monitors type as a synergistic result and produces out the simplest performance of laptop components. GB play monitors supply the final word specifications and quality, users will actually relish upmarket performance while not the requirement for extravagance."
Gigabyte G27FC 27 inch Curved 165 Hz Adaptive-Sync VA Gaming Monitor,"28,999৳","Catch up with the competition with the G27FC 27"" 16:9 Curved 165 Hz Adaptive-Sync VA Gaming Monitor from Gigabyte. Featuring a fast 165 Hz refresh rate, a 1 ms response time, and Adaptive-Sync support, this monitor offers users a fluid and lag-free gaming experience. Moreover, it's built with a curved VA panel, which places you right in the middle of the action. Specs-wise, it has a 1920 x 1080 Full HD resolution, a 3000:1 static contrast ratio, a 250 cd/m² brightness rating, and support for 16.7 million colors. Connectivity options include HDMI and DisplayPort, and its stand supports height and tilt adjustments."
ASUS VY249HE 23.8 inch Full HD IPS Eye Care Monitor,"20,999৳","ASUS VY249HE Eye Care monitor is designed with your health in mind. It features new ASUS Eye Care Plus technology, a proprietary long-lasting antibacterial treatment on the bezels and hotkeys, and an advanced IPS FHD panel that delivers exceptional visuals. Ideal for eLearning, work or entertainment, the combination of a 75Hz refresh rate and AMD FreeSync™ support ensures you’ll enjoy consistently smooth visuals with any content."
ASUS TUF GAMING VG30VQL1A 29.5 INCH HDR CURVED ULTRAWIDE MONITOR,"50,000৳","Designed for professional gamers and immersive gameplay, the TUF Gaming 29.5"" HDR 200 Hz Curved Ultrawide Monitor from ASUS uses a 1500R curvature rate to better place all points of the display equidistant from your eyes. It delivers a refresh rate of up to 200 Hz, which means the screen refreshes up to 200 times per second to help eliminate motion blur. ASUS Extreme Low Motion Blur enables a 1 ms (MPRT) response time, while Adaptive-Sync helps eliminate ghosting and tearing and FreeSync Premium enables VRR (variable refresh rate) to minimize screen tearing. This display is further strengthened by coverage for 127% of the sRGB and 99% of the DCI-P3 color gamuts, while HDR10+ helps bring out details from dark and bright areas while maintaining overall image clarity."
ASUS VA27AQSB 27 Inch 2K WQHD IPS Eye Care Monitor,"46,500৳",
ASUS ZENSCREEN MB166B 15.6 INCH IPS PORTABLE MONITOR,"31,000৳","Expand your screen real estate while you are out and about with the ASUS ZenScreen MB166B 15.6"" Portable Monitor. Designed to give you an experience similar to your office, the ZenScreen provides your host device with a secondary screen that is both compact and lightweight, perfect for business trips of any length."
ASUS VZ239HR 23 INCH EYE CARE MONITOR ,"18,700৳","ASUS VZ239HR has a space-saving design with an ultra-slim profile that measures a mere 7mm at its thinnest point. Its frameless design makes it perfect for almost-seamless multi-display setups that give you an even greater degree of immersion. An advanced high-performance IPS panel gives you an astonishing 80,000,000:1 contrast ratio and wide 178° viewing angles. In addition, ASUS Eye Care technology ensures a comfortable viewing experience."
ASUS ROG Strix XG43UQ 43 Inch 144Hz 4K UHD HDR DSC FreeSync Gaming Monitor,"190,000৳",
Asus ROG Swift PG259QN 24.5 inch 360Hz IPS G-Sync Gaming Monitor,"100,000৳",
ASUS TUF GAMING VG27AC1A 27 INCH WQHD GAMING MONITOR,"48,700৳","The 27-inch TUF Gaming VG27AC1A WQHD gaming monitor featuring a IPS panel for blistering-fast 170 Hz(overdrive) gaming. ASUS Extreme Low Motion Blur Sync (ELMB Sync) and Nvidia G-Sync compatible and AMD FreeSync™ Premium technologies enables buttery-smooth gaming. In addition, it meets a 130% sRGB color gamut to offer exceptional colors and contrast."
XIAOMI RMMNT30HFCW 30 INCH CURVED GAMING MONITOR ,"32,499৳","The high 200Hz refresh rate for all-round hard core breakthrough power.Take in the whole picture at a glance, as this 21:9 ultra-widescreen monitor with 2560 × 1080 resolution puts you in control.High-resolution picture quality, revealing every breeze and blade of grass in crisp detail.Now you can take the advantage and control the field, grasping enemy movements in advance and planning your moves to match.1800R curvature is better suited to your eyes, producing a more powerful visual impact and immersive experience.Enjoy a truly immersive panoramic view that put you in the middle of the action, and feel the thrill as the battle heats up all around you.The ultra-narrow bezel increases the screen-to-body ratio while reducing visual noise.Combined with a wide 21:9 aspect ratio, the curved screen surrounds you, for an immersive cinematic viewing experience."
ASus ROG Strix XG49VQ 49-inch Super Ultra-Wide HDR 144Hz Gaming Monitor,"140,000৳",
ASUS Proart PA32UC-K 32 Inch 4K IPS Monitor,"190,500৳",
LG 22MK430H-B 22 inch (AMD FreeSync) Full HD IPS LED Display Monitor,"13,249৳",
XIAOMI XMMNT27NU 27 INCH 4K 60HZ MONITOR,"40,999৳","Solid strength in developing specialised monitors .Spark your creativity in image processing.Empowered by 4K ultra HD and a cinematic super-wide color gamut,a monitor for professional design is unveiled.and coupled with the strong expansion capability and multi-dimensional adjustment design,it allows you to express your creativity and unleash your potential in all aspects."
ASUS REPUBLIC OF GAMERS SWIFT PG42UQ 41.5 INCH 4K HDR 138 HZ GAMING MONITOR,"260,000৳","Experience deeply immersive gaming and entertainment experiences with the ROG Swift PG42UQ 41.5"" Monitor from ASUS. Designed for stunning performance, this large display features a 3840 x 2160 4K UHD resolution OLED HDR screen with a 1,500,000:1 max contrast ratio, delivering stunning images with rich shadows and highlights. Additionally, its 138 Hz overclocked refresh rate and 0.1 ms response time help to significantly reduce motion blur from fast action scenes. NVIDIA G-Sync compatibility reduces screen tearing, stuttering, and other artifacts with compatible graphics cards. With this level of performance, the ROG Swift PG42UQ is also an ideal display for creating professional-grade videos, photos, and other content."
Asus ProArt Display PA248QV 24-inch Adaptive-Sync IPS Professional Monitor,"42,000৳",
"ASUS BE229QLBH 21.5"" FULL HD IPS BUSINESS MONITOR","16,200৳","ASUS BE229QLBH business monitor boasts a 21.5-inch FHD (1920x1080) IPS panel with excellent viewing angles. It includes a wide range of connections, including DisplayPort, HDMI, DVI-D, D-sub, Audio in, an earphone jack, and two USB 3.0 ports for optimum adaptability. The monitor's ergonomic design, which allows for height, pivot, tilt, and swivel adjustments, ensures a comfortable viewing experience. For a comfortable viewing experience, flicker-free and low blue light technologies have received TÜV Rheinland Certification. The ergonomically designed stand of the BE229QLBH allows for height, tilt, swivel, and pivot adjustments for a comfortable viewing and operating experience. When working with lengthy documents, coding, or reading websites, the option to rotate the screen 90 degrees clockwise or counterclockwise for portrait mode is useful. The ergonomically designed stand of the BE229QLBH allows for height, tilt, swivel, and pivot adjustments for a comfortable viewing and operating experience."
ASUS BE24EQK 23.8 inch Full HD Webcam Business Monitor ,"33,500৳","Integrated Full HD webcam, mic array and stereo speakers for video conferencing and online learning. 23.8-inch Full HD(1920x1080) frameless IPS panel with wide viewing angles, Extensive connectivity with DisplayPort, HDMI, D-sub, Audio in, and Earphone jack for the most flexibility, ASUS Eye Care monitors feature TÜV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience. Space-saving with VESA-mountable design."
LG UltraGear 34GN850-B 34 inch QHD IPS 160Hz Curved Adaptive-Sync Gaming Monitor,"127,000৳","The UltraGear 34GN850-B 34"" 21:9 Curved 160 Hz Adaptive-Sync HDR IPS Gaming Monitor is made with their Nano IPS (In-Plane Switching) technology featuring wide color coverage and a coffee 1 ms reaction time . As a gaming-focused monitor,LG 34GN850-B Gaming Monitor is also equipped with many useful additions like a quick 160 Hz overclocked refresh rate when using DisplayPort, AMD FreeSync support, and NVIDIA G-SYNC compatibility. Specs-wise, it's a 3440 x 1440 resolution, a 1000:1 static contrast ratio, a 400 cd/m² brightness rating, and support for up to 1.07 billion colors. Connect LG 34GN850-B Gaming Monitor to your system via HDMI or DisplayPort and adjust its versatile stand to best suit your viewing preference. Users also can install an optional VESA mount, stand, or arm if needed."
XIAOMI REDMI RMMNT27NQ 27 INCH 2K 60HZ IPS MONITOR,"22,499৳","This Redmi display uses a 27-inch IPS panel, 2560 × 1440 resolution, 60 Hz refresh rate, 178 ° viewing angle, 8-bit native color depth, 300 nits maximum brightness, a ratio contrast ratio of 1000: 1 and a GTG response time of 6 ms. Supports DC dimming and global low blue light mode. The 27-inch Redmi 2K display adopts a three-sided narrow bezel design, a black body, and is 7.5mm thick. The base stand only supports tilt angle adjustment. The back of the body is equipped with a Function Button that supports operations such as on / off and direction selection. The interface is equipped with 1 HDMI 1.4, 1 VGA interface, 1 audio interface, and 1 DC power interface, and the power input power is 36W."
LG ULTRAFINE 32EP950-B 31.5 INCH 4K HDR OLED MONITOR,"432,000৳","Designed for creative professionals the LG UltraFine 32EP950-B 31.5"" 16:9 4K HDR OLED Monitor, delivers exceptional color accuracy alongside a variety of connectivity options to support your video editing workflow. Supporting a 3840 x 2160 resolution at 60 Hz, this 4K OLED monitor delivers deliver vibrant colors with high-dynamic range, covering 99% of the DCI-P3 and Adobe RGB spectrums. At the same time, Pixel Dimming technology adjusts the brightness of each individual pixel to express near perfect contrast. With a 1 million:1 contrast ratio, nearly all the colors and visuals editors intend may be represented. Connect the UltraFine 32EP950-B to your workstation using the HDMI or DisplayPort inputs. Alternatively, you can transfer video, audio, data, and up to 90W of power over a single USB Type-C cable with compatible laptops. Other features include a 250 cd/m² brightness and an integrated USB 3.1 Gen 1 hub that allows you to quickly connect peripherals such as keyboards, mice, and flash drives through the monitor."
Xiaomi Mi 34 Inch 144Hz FreeSync Curved Monitor,"39,999৳",
"Xiaomi Redmi 1A 23.8"" Full HD Monitor","12,799৳",
